Time,Human Count,Social Distance violate,Restricted Entry,Abnormal Activity
5,0,0,0,0
10,0,0,0,0
15,4,0,0,0
20,4,0,0,0
25,4,2,0,0
30,4,0,0,0
35,4,0,0,0
40,4,0,0,0
45,4,0,0,0
50,4,2,0,0
55,4,0,0,0
60,4,0,0,0
65,4,2,0,0
70,4,0,0,0
75,4,2,0,0
80,3,0,0,0
85,3,0,0,0
90,4,0,0,0
95,4,0,0,0
100,4,0,0,0
105,3,0,0,0
110,5,0,0,0
115,5,0,0,0
120,5,0,0,0
125,6,0,0,0
130,7,2,0,0
135,7,0,0,0
140,7,0,0,0
145,7,0,0,0
150,7,0,0,0
155,6,2,0,0
160,6,2,0,0
165,6,2,0,0
170,6,2,0,0
175,6,2,0,0
180,6,2,0,0
185,6,2,0,0
190,7,2,0,0
195,7,2,0,0
200,6,2,0,0
205,5,0,0,0
210,5,0,0,0
215,6,2,0,0
220,6,0,0,0
225,5,0,0,0
230,4,0,0,0
