Time,Human Count,Violation,RE,Abnormal
5,0,0,0,0
10,0,0,0,0
15,4,0,0,0
20,4,0,0,0
25,4,2,0,0
30,4,0,0,0
35,4,0,0,0
40,4,0,0,0
45,4,0,0,0
50,4,2,0,0
55,4,0,0,0
60,4,0,0,0
65,4,2,0,0
70,4,0,0,0
75,4,2,0,0
80,3,0,0,0
85,3,0,0,0
90,4,0,0,0
95,4,0,0,0
100,4,0,0,0
105,3,0,0,0
110,5,0,0,0
115,5,0,0,0
120,5,0,0,0
125,6,0,0,0
130,7,2,0,0
135,7,0,0,0
140,7,0,0,0
145,7,0,0,0
150,7,0,0,0
155,6,2,0,0
160,6,2,0,0
165,6,2,0,0
170,6,2,0,0
175,6,2,0,0
180,6,2,0,0
185,6,2,0,0
190,7,2,0,0
195,7,2,0,0
200,6,2,0,0
205,5,0,0,0
210,5,0,0,0
215,6,2,0,0
220,6,0,0,0
225,5,0,0,0
230,4,0,0,0
235,5,2,0,0
240,5,2,0,0
245,6,2,0,0
250,6,2,0,0
255,6,4,0,0
260,6,4,0,0
265,6,4,0,0
270,5,2,0,0
275,4,2,0,0
280,5,2,0,0
285,5,0,0,0
290,5,0,0,0
295,5,2,0,0
300,5,2,0,0
305,6,3,0,0
310,7,3,0,0
315,7,3,0,0
320,7,3,0,0
325,6,3,0,0
330,6,3,0,0
335,5,0,0,0
340,6,0,0,0
345,6,0,0,0
350,7,0,0,0
355,7,0,0,0
360,7,0,0,0
365,7,0,0,0
370,8,2,0,0
375,8,0,0,0
380,9,0,0,0
385,9,2,0,0
390,8,0,0,0
395,8,0,0,0
400,9,0,0,0
405,9,2,0,0
410,9,2,0,0
415,8,0,0,0
420,9,0,0,0
425,11,2,0,0
430,11,0,0,0
435,11,0,0,0
440,11,0,0,0
445,12,2,0,0
450,13,6,0,0
455,13,2,0,0
460,13,2,0,0
465,13,4,0,0
470,12,2,0,0
475,12,2,0,0
480,10,0,0,0
485,10,2,0,0
490,11,3,0,0
495,12,3,0,0
500,11,2,0,0
505,12,0,0,0
510,11,0,0,0
515,12,2,0,0
520,12,2,0,0
525,13,2,0,0
530,13,2,0,0
535,14,4,0,0
540,14,7,0,0
545,15,9,0,0
550,16,8,0,0
555,16,12,0,0
560,17,13,0,0
565,15,5,0,0
570,15,7,0,0
575,14,8,0,0
580,15,5,0,0
585,15,6,0,0
590,15,7,0,0
595,15,5,0,0
600,14,9,0,0
605,14,5,0,0
610,14,4,0,0
615,13,3,0,0
620,13,4,0,0
625,13,4,0,0
630,13,4,0,0
